family,stage,level,variant,cue,resource,intervention,baseline,post,effect,max_plastic_change,wall_seconds,peak_rss_bytes
class_consistent,1,3,primary,A,0.2,intact,0.06926449204191568,0.03035466950793375,0.5032680319066752,0.8410081754538196,127.81345133300056,840990720
class_consistent,1,3,primary,B,0.2,intact,0.11067097572354148,0.05798099380270778,0.3782034253577137,0.8409861572387411,129.96745745900262,840990720
class_consistent,2,1,primary,A,0.2,intact,0.0037833895703543842,0.003783328183429528,1.6157984029763206e-05,3.290565933056211e-05,7.228684042005625,632274944
class_consistent,2,1,primary,B,0.2,intact,0.008790158092002969,0.008789960838704421,2.220763506788348e-05,7.694064865515493e-05,7.388952083005279,632274944
class_consistent,2,2,context_cut,A,0.2,intact,0.003853595637778955,0.003853531641101144,1.6534739141538246e-05,3.380143859665896e-05,2.0521127920001163,641875968
class_consistent,2,2,context_double,A,0.2,intact,0.0034436262606496824,0.0034435755854222852,1.4669937224098817e-05,2.934809523880144e-05,10.999195625001448,641875968
class_consistent,2,2,context_half,A,0.2,intact,0.003847930967420917,0.0038478672176123496,1.649544518977919e-05,3.371106119032241e-05,11.046561791998101,641875968
class_consistent,2,2,glutamate_inhibitory,A,0.2,intact,0.0037831730714928853,0.0037831118031864527,1.6127674606014608e-05,3.284889993804274e-05,12.077641125004448,641875968
class_consistent,2,2,primary,A,0.2,freeze,0.003783295312376842,0.003783295312376842,0.0,0.0,10.404397291997157,641875968
class_consistent,2,2,primary,A,0.2,intact,0.003783292515157907,0.00378323109610758,1.6166852359278394e-05,3.292463956072744e-05,10.643681124995055,641875968
class_consistent,2,2,primary,A,0.2,matched_control,0.0037832397609447077,0.0037831786104525955,1.6096417782995864e-05,3.2770497179201996e-05,10.818160708004143,641875968
class_consistent,2,2,primary,A,0.2,silence_dan,0.003783295312376842,0.003783295312376842,0.0,0.0,10.765650250003091,641875968
class_consistent,2,2,primary,B,0.2,intact,0.008790143135791878,0.008789945837438033,2.221273746361163e-05,7.695839869714671e-05,10.895334875000117,641875968
class_consistent,2,2,role_normalization,A,0.2,intact,0.09095617325727057,0.0898941678953414,0.01116669653738045,0.020075860652907895,10.790302665998752,641875968
class_consistent,2,3,primary,A,0.2,intact,0.003783338661891119,0.0037832772275890577,1.61706679387974e-05,3.293345252619595e-05,95.8485694580013,745963520
class_consistent,2,3,primary,B,0.2,intact,0.008790163534500312,0.008789966135089974,2.2224070541754237e-05,7.6995452920392e-05,92.36881033299869,745963520
class_consistent,3,1,primary,A,0.2,intact,0.01858342680344136,0.01857803168137929,,0.0011547807002683097,41.133708833993296,794476544
class_consistent,3,1,primary,A,0.8,intact,0.018580198861293827,0.01856760985103808,,0.0026932697416972573,40.879682083999796,794476544
class_consistent,3,1,primary,B,0.2,intact,0.016280792936289708,0.016276473259967547,,0.0007619789047851322,39.5471534160024,794476544
class_consistent,3,1,primary,B,0.8,intact,0.016278112194405024,0.016268032509518877,,0.0017775665033287202,38.14135441699909,794476544
class_consistent,3,2,context_cut,A,0.2,intact,0.01858125771346529,0.018575860050142515,,0.0011552008723380025,24.267785083997296,795607040
class_consistent,3,2,context_cut,A,0.8,intact,0.018578028471596803,0.018565433530367124,,0.0026942490218486714,23.983197707995714,795607040
