id,name,type,skid
14781293,Putative Mi1 8661983642 CL,neuron,14781292
14781345,Putative Mi1 8658143585 CL,neuron,14781344
14781373,Putative Mi1 6719030652 CL,neuron,14781372
14781389,Putative Mi1 6845710427 CL,neuron,14781388
14781719,Putative Mi1 6838669638 CL,neuron,14781718
14781737,Putative Mi1 8951845417 CL,neuron,14781736
14783236,Putative Mi1 8696606369 CL,neuron,14783235
14783395,Putative Mi1 6869376481 CL,neuron,14783394
14783538,Putative Mi1 8568605143 CL,neuron,14783537
14783599,Putative Mi1 7393350830 CL,neuron,14783598
14783697,Putative Mi1 7129133274 CL,neuron,14783696
14783813,Putative Mi1 7262215349 CL,neuron,14783812
14783926,Putative Mi1 8694001456 CL,neuron,14783925
14784083,Putative Mi1 9745134934 CL,neuron,14784082
14788008,Putative Mi1 10008092050 CL,neuron,14788007
14789352,Putative Mi1 11696427457 CL,neuron,14789351
14789936,Putative Mi1 12214645155 CL,neuron,14789935
14791253,Putative Mi1 11697075527 CL,neuron,14791252
14791376,Putative Mi1 11432214611 CL,neuron,14791375
14791448,Putative Mi1 11693216511 CL,neuron,14791447
14791693,Putative Mi1 12079652250 CL,neuron,14791692
14792229,Putative Mi1 11167348553 CL,neuron,14792228
14792321,Putative Mi1 12338110510 CL,neuron,14792320
14794378,Putative Mi1 11687475502 CL,neuron,14794377
14794410,Putative Mi1 10773240574 CL,neuron,14794409
14794504,Putative Mi1 11814776063 CL,neuron,14794503
14794598,Putative Mi1 10771282028 CL,neuron,14794597
14795792,Putative Mi1 10384905600 CL,neuron,14795791
14795813,Putative Mi1 9731664333 CL,neuron,14795812
14795898,Putative Mi1 12071319997 CL,neuron,14795897
14796324,Putative Mi1 11679138264 CL,neuron,14796323
14796482,Putative Mi1 10503856980 CL,neuron,14796481
14796935,Putative Mi1 12066833282 CL,neuron,14796934
14797010,Putative Mi1 12063641073 CL,neuron,14797009
14797199,Putative Mi1 10366944344 CL,neuron,14797198
14797220,Putative Mi1 11674028525 CL,neuron,14797219
14797289,Putative Mi1 10372082780 CL,neuron,14797288
14801711,Putative Mi1 10884551516 CL,neuron,14801710
14802236,Putative Mi1 10365062492 CL,neuron,14802235
14802264,Putative Mi1 8669676527 CL,neuron,14802263
14802776,Putative Mi1 11666991119 CL,neuron,14802775
14803169,Putative Mi1 8146364366 CL,neuron,14803168
14803383,Putative Mi1 8400359352 CL,neuron,14803382
14803455,Putative Mi1 217234162 CL,neuron,14803454
14803675,Putative Mi1 9963946289 CL,neuron,14803674
14803697,Putative Mi1 8396496738 CL,neuron,14803696
14810280,Putative Mi1 8659426609 CL,neuron,14810279
14810633,Putative Mi1 10484718312 CL,neuron,14810632
14811022,Putative Mi1 11660604824 CL,neuron,14811021
14811180,Putative Mi1 11661238350 CL,neuron,14811179
14813015,Putative Mi1 11795584588 CL,neuron,14813014
14813529,Putative Mi1 12061085446 CL,neuron,14813528
14813702,Putative Mi1 12329141844 CL,neuron,14813701
14814077,Putative Mi1 12205031550 CL,neuron,14814076
14814137,Putative Mi1 10660016374 CL,neuron,14814136
14814218,Putative Mi1 9748349076 CL,neuron,14814217
14814514,Putative Mi1 8701063046 CL,neuron,14814513
14815118,Putative Mi1 8959544762 CL,neuron,14815117
14815210,Putative Mi1 8828395194 CL,neuron,14815209
14827900,Putative Mi1 8434937121 CL,neuron,14827899
14828709,Putative Mi1 8171992423 CL,neuron,14828708
14830021,Putative Mi1 8436207084 CL,neuron,14830020
14830298,Putative Mi1 9090644605 CL,neuron,14830297
14831690,Putative Mi1 8700388455 CL,neuron,14831689
14833356,Putative Mi1 10656817576 CL,neuron,14833355
14834852,Putative Mi1 9616548385 CL,neuron,14834851
14835013,Putative Mi1 6854643269 CL,neuron,14835012
14835150,Putative Mi1 6590427234 CL,neuron,14835149
14837985,Putative Mi1 7762499009 CL,neuron,14837984
14838000,Putative Mi1 5022376718 CL,neuron,14837999
14838148,Putative Mi1 6848252423 CL,neuron,14838147
14838162,Putative Mi1 6845053698 CL,neuron,14838161
14838204,Putative Mi1 6844436030 CL,neuron,14838203
14838227,Putative Mi1 6317904285 CL,neuron,14838226
14838250,Putative Mi1 6838661055 CL,neuron,14838249
14838345,Putative Mi1 6836739967 CL,neuron,14838344
14838511,Putative Mi1 8404192790 CL,neuron,14838510
14838580,Putative Mi1 6704962518 CL,neuron,14838579
14840350,Putative Mi1 7624974504 CL,neuron,14840349
14842646,Putative Mi1 6832911409 CL,neuron,14842645
14843492,Putative Mi1 8532150263 CL,neuron,14843491
14844003,Putative Mi1 8138680209 CL,neuron,14844002
