root_id,hemisphere,type,column_id,x,y,p,q,annotation_v3_1_0_type,type_match,lens_index,retinal_direction,experimental_screen_transform
720575940615404694,left,T4c,189,6,13,0,13,T4c,True,,,
720575940615408757,right,T4c,784,-4,29,18,11,T4c,True,,,
720575940615408962,right,T5a,13,-1,-26,-12,-14,T5a,True,,,
720575940615411595,left,T4b,652,-6,-11,0,-11,T4b,True,,,
720575940615415199,left,T5b,714,5,12,1,11,T5b,True,,,
720575940615415263,right,T5a,3,6,-12,-12,0,T5a,True,,,
720575940615419359,left,T5c,351,-1,-17,-8,-9,T5c,True,,,
720575940615419442,right,T4d,745,0,13,6,7,T4d,True,,,
720575940615420327,left,T5d,355,-7,-6,4,-10,T5d,True,,,
720575940615425534,left,T5a,720,-5,21,15,6,T5a,True,,,
720575940615427650,left,T4d,642,-5,-11,-1,-10,T4d,True,,,
720575940615434050,left,T4c,68,3,16,5,11,T4c,True,,,
720575940615442847,left,T4a,768,3,5,-1,6,T4a,True,,,
720575940615447146,left,T4a,402,3,26,10,16,T4a,True,,,
720575940615449922,right,T4c,67,-2,-13,-5,-8,T4c,True,,,
720575940615451551,right,T5a,252,3,23,8,15,T5a,True,,,
720575940615459487,left,T4d,173,2,-25,-15,-10,T4d,True,,,
720575940615464351,left,T5b,20,3,-11,-9,-2,T5b,True,,,
720575940615464863,left,T4a,263,-3,4,5,-1,T4a,True,,,
720575940615467682,right,T5a,445,-2,8,6,2,T5a,True,,,
720575940615473002,right,T4c,13,-1,-26,-12,-14,T4c,True,,,
720575940615473986,left,T5b,677,0,11,5,6,T5b,True,,,
720575940615475818,left,T4a,38,0,-2,-1,-1,T4a,True,,,
720575940615481019,right,T4d,365,4,7,-1,8,T4d,True,,,
720575940615488834,left,T4d,470,4,-9,-9,0,T4d,True,,,
720575940615489858,right,T4d,350,1,15,6,9,T4d,True,,,
720575940615490450,right,T5d,660,2,28,12,16,T5d,True,,,
720575940615494722,left,T4b,108,-3,-12,-3,-9,T4b,True,,,
720575940615507010,left,T4a,397,-3,-19,-7,-12,T4a,True,,,
