level,family,arm,root_id,stimulus,seed,peak_model_rate,integral_model_rate_s,peak_time_after_onset_s,sensory_peak_sum,trace_path
L0,sensitivity,gain_half,720575940623047629,grating_270,17,0.000522004093801109,0.0005678229923482398,1.27,3.4461712592661806,traces/79f0ca39deced903857a9ee7c1c5aef1306e5024bdb7f2b3ef12cd86df171930.npz
L0,sensitivity,gain_double,720575940623047629,expand,17,0.0009927162881098847,0.00042819435829572427,0.33000000000000007,0.785824455780196,traces/67f7dc13a2e9dda5f5021255fc819085b3afd031a1e4ad967fbc6f73b56bfb25.npz
L0,sensitivity,gain_double,720575940623047629,recede,17,0.003180847907110446,0.004101324868583479,1.415,1.1647866883607065,traces/944b2334ee896619f61955c0dabc15df5d816e2f41c00d23a2bf639e5d879b81.npz
L0,sensitivity,gain_double,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/4208baa2a8d1f71d75f9477d629c4e7bcf08277b98e62e615480763e70ae810f.npz
L0,sensitivity,gain_double,720575940623047629,grating_0,17,0.0019091575219735047,0.0018514893506186366,1.08,1.146174012634744,traces/002bf0efed4d29899203e54ea6d81fd1df7d5b9d55eff230ac2196ac3c97f991.npz
L0,sensitivity,gain_double,720575940623047629,grating_90,17,0.003956450921907054,0.006227479739562695,1.005,2.174963157516685,traces/3e89c6fc381ef336c96129d6049914da96ceac88c116e61c2d8838fd8571b5ec.npz
L0,sensitivity,gain_double,720575940623047629,grating_180,17,0.005812323386492918,0.0071419335106419745,2.0300000000000002,1.541651323931052,traces/49c8a24c704c74cdc314147efd75c53438fd7ad319a0760aab719caaa962f70b.npz
L0,sensitivity,gain_double,720575940623047629,grating_270,17,0.001376243024962462,0.0009843751259144325,0.2650000000000001,3.4461712592661806,traces/76f67e514802dc408a7779f29615b0da51e541af019c5d72efa0d16d660ba52e.npz
L0,sensitivity,lpi_zero,720575940623047629,expand,17,0.0005198273931025235,0.00027537987007735816,0.33000000000000007,0.785824455780196,traces/d1beb67d1b5a9b5b0e8874886611887cc6b622f3fd0814d0b7efd690c878076b.npz
L0,sensitivity,lpi_zero,720575940623047629,recede,17,0.001619905449300211,0.0021164520711473957,1.415,1.1647866883607065,traces/0338a7f06bcf7abd87761f72d127b5e6cee66caaa89580f79806ad16dc38493e.npz
L0,sensitivity,lpi_zero,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/a184328223d7143f37333a173221953ed3ca96e669e18105258cf670874fe962.npz
L0,sensitivity,lpi_zero,720575940623047629,grating_0,17,0.0009546802060316494,0.0009258501595957385,1.08,1.146174012634744,traces/678723111e30821ee4ed6a391ba21bda1dbefc00afaef9ac32109aef35048ac8.npz
L0,sensitivity,lpi_zero,720575940623047629,grating_90,17,0.0020007382915155645,0.0031643617362705507,2.005,2.174963157516685,traces/6de8d95910c807a5fd4ab1bd7da71d8febc44e5572fb3132b434daa6d2f0290a.npz
L0,sensitivity,lpi_zero,720575940623047629,grating_180,17,0.0029061619779751904,0.003570967027492459,2.0300000000000002,1.541651323931052,traces/0ba1f0b341677a3d8ac1176ed155cbf755e17c3af7fe7e1d4ac78378c79078c7.npz
L0,sensitivity,lpi_zero,720575940623047629,grating_270,17,0.0011796094168924744,0.0013839275535041295,1.27,3.4461712592661806,traces/965ea0caf19ba0fd2210beada7c0626adf04f4e485fcb2c651311057bb277aa1.npz
L0,sensitivity,lpi_half,720575940623047629,expand,17,0.0005139600808406282,0.00025761560540490946,0.33000000000000007,0.785824455780196,traces/a1c7e1f816428850239d2e83b8fa2c96cca9b3194f2777a6c0ab3405cedbf3ba.npz
L0,sensitivity,lpi_half,720575940623047629,recede,17,0.0016125350753639636,0.0021000046619334815,1.415,1.1647866883607065,traces/96a6e0803b08f67486d3b8b871e395cb936d12c131cb12b24a4f5c953d3ad392.npz
L0,sensitivity,lpi_half,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/e0d1dd9c997e394ec4d32b6617460a9d0a5e12fb4002eca2a969249d2c50f174.npz
L0,sensitivity,lpi_half,720575940623047629,grating_0,17,0.0009546548447704251,0.0009258237885241336,1.08,1.146174012634744,traces/1d3572784b2c26e30d9d87b03273af922060dbbf7b24789654a83111d2310188.npz
L0,sensitivity,lpi_half,720575940623047629,grating_90,17,0.0019951100794994444,0.00315170626964825,2.005,2.174963157516685,traces/185ca5ccbac0446c5fef5d6e491685eed73429d9a60db11c2e38d2f69cd230fc.npz
L0,sensitivity,lpi_half,720575940623047629,grating_180,17,0.002906161906793008,0.003570966959449591,2.0300000000000002,1.541651323931052,traces/9f589922a585cdb5cf3fef96f49f140e901f5de9e0c1a318466f4328eef8ad87.npz
L0,sensitivity,lpi_half,720575940623047629,grating_270,17,0.001044008187602218,0.0011356459846964795,1.27,3.4461712592661806,traces/af5180640afef501c032cefcdcc1b8d6e8a96b0277fd634f3c33b9a632b0ad82.npz
L0,sensitivity,lpi_double,720575940623047629,expand,17,0.0004963581440549424,0.00021409717914786213,0.33000000000000007,0.785824455780196,traces/c6972f7e6dd4c7c4bd7bb81b9c75ca6b2aac81dee0c34200063abaad5a561e39.npz
L0,sensitivity,lpi_double,720575940623047629,recede,17,0.001590423953555223,0.0020506624342917397,1.415,1.1647866883607065,traces/a3c186c91f0d8a55a7224e9807a7b252529cca95c2193f7ee20de4c4463e9df0.npz
L0,sensitivity,lpi_double,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/e1a13530377565e88194c3779b70810d342a70a64efd0ec9daaa5eacbd86861d.npz
L0,sensitivity,lpi_double,720575940623047629,grating_0,17,0.0009545787609867523,0.0009257446753093183,1.08,1.146174012634744,traces/ab96b0cad6b67ac3588b96a146da10ab0f1c6636036fdb2a78aec91d33e99266.npz
L0,sensitivity,lpi_double,720575940623047629,grating_90,17,0.001978225460953527,0.0031137398697813476,1.005,2.174963157516685,traces/cb7baacde68038576461afb761c312aa0bb2e9cbb5c67b8669fde044d7932481.npz
L0,sensitivity,lpi_double,720575940623047629,grating_180,17,0.002906161693246459,0.0035709667553209873,2.0300000000000002,1.541651323931052,traces/f4cf31832306eecaf2b9c984b78856d13c5ee16302e782d8e82f841fb021efc4.npz
L0,sensitivity,lpi_double,720575940623047629,grating_270,17,0.000688121512481231,0.0004921875629572163,0.2650000000000001,3.4461712592661806,traces/ee2ee8bcc183d5c6e3f759618a3687e7d8330f905bdfdfe3476da00c46949791.npz
L0,sensitivity,dt_half,720575940623047629,expand,17,0.0004976547910568057,0.00024096129886218425,0.3275000000000001,0.7831910773488197,traces/4d83480636c0112c24c73372fb8699028c1c080bcf15a8a8116e6ecec9d3ed22.npz
L0,sensitivity,dt_half,720575940623047629,recede,17,0.0015831263075616639,0.002082519993281378,1.415,1.1557780755528968,traces/5776aef69ab50bbf5c39155974b11cbef7d894d878b4f51c822b97debad5b747.npz
L0,sensitivity,dt_half,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/24aa71ae7d53d3f4cdbe650058981edb80722df532c64b49fac2e1e1b3d89d6d.npz
L0,sensitivity,dt_half,720575940623047629,grating_0,17,0.0009395646672842122,0.0009260500013319388,1.2999999999999998,1.1396469762551138,traces/66492721e5c612b90ca3be5a4ee72e1d1fe113d2350612ce380b23222a0b5913.npz
L0,sensitivity,dt_half,720575940623047629,grating_90,17,0.0019725113209368506,0.003136141108474582,2.005000000000001,2.1427365842863333,traces/ee69d08f80be1bbcf1144177276f216297bf211099d5d2da2b7be893fbcc7dc1.npz
L0,sensitivity,dt_half,720575940623047629,grating_180,17,0.002865788056210099,0.0035675785848387643,2.0300000000000002,1.5442675859147166,traces/98ccd341494ace35fc56a5b6b95b739cf002b8e7847af7b8c96eb8f919a793cf.npz
L0,sensitivity,dt_half,720575940623047629,grating_270,17,0.0008966256259306004,0.0008996614344425424,1.2675,3.398257995089179,traces/38197a4b01dad3c7ef53f91ab2ac2cde3c396a203b0a8047f077861baa5fa402.npz
L0,sensitivity,retained_norm,720575940623047629,expand,17,0.0012483178209078372,0.0005543416852230587,0.33000000000000007,0.785824455780196,traces/41201585cbed64dbbc018e2b2b934c72d311992571a95125dda5dcb913cc5a89.npz
L0,sensitivity,retained_norm,720575940623047629,recede,17,0.00398430007488441,0.00514822226047041,1.415,1.1647866883607065,traces/3037cc02ea05e1ad3679abcc55c4c38ef220dd8fcc518c990927395193e9099a.npz
L0,sensitivity,retained_norm,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/70c92da5901e55666d4f25120d1e8b1f79b6f198193db0f47a23fca101db79b2.npz
L0,sensitivity,retained_norm,720575940623047629,grating_0,17,0.0023840453481941692,0.0023120359024652428,1.08,1.146174012634744,traces/896e358cc84167bf1ddfe4941b2e761b4f5218e62b48f8ba6c71a63311889adf.npz
L0,sensitivity,retained_norm,720575940623047629,grating_90,17,0.0049493451067486125,0.007796613282686926,1.005,2.174963157516685,traces/b0e01443b4cfe601405217c0d002aefb74741be7ce2b5722df18155b34433408.npz
L0,sensitivity,retained_norm,720575940623047629,grating_180,17,0.0072579526658108975,0.008918260686928522,2.0300000000000002,1.541651323931052,traces/11491d3b5a447b7b38c0d1f744484d71be2a662a0a690c051b4fdb839af37365.npz
L0,sensitivity,retained_norm,720575940623047629,grating_270,17,0.0018804228301686932,0.0015075310488506745,0.2650000000000001,3.4461712592661806,traces/cd8839bba66b5a77b7859dac56edf18f993afa785b4b142e4ed1454c62f065f0.npz
L0,intervention,route_remove,720575940623047629,expand,17,0.0,0.0,0.0,0.785824455780196,traces/8a3cda351c5b276dfb3990e35c7dbed50f52dbb2a28f2ff1a4c43975f0c9cb62.npz
L0,intervention,route_remove,720575940623047629,recede,17,0.0,0.0,0.0,1.1647866883607065,traces/fbf2344e7fae6b7ee0bae7a1cef781b6697882398b8632876dd173204acaeeab.npz
L0,intervention,route_remove,720575940623047629,grating_0,17,0.0,0.0,0.0,1.146174012634744,traces/182cb41926ab02d974ef6d3e071b340447bde13a2b54d502754f963336116e58.npz
L0,intervention,matched_route,720575940623047629,expand,17,0.0005192791505413449,0.0002739170793739835,0.33000000000000007,0.785824455780196,traces/5faeb8b16ce92ba65c5d6ccbdbc04f323ee40b4c950081630510790a82b68f4f.npz
L0,intervention,matched_route,720575940623047629,recede,17,0.0016144312765264408,0.002107297353745434,1.415,1.1647866883607065,traces/093b5dd45458b5584e88d3ec694085fb3044dfe96dbbdd527a6669394e73a13c.npz
L0,intervention,matched_route,720575940623047629,grating_0,17,0.0009546294835092008,0.0009257974174525284,1.08,1.146174012634744,traces/6392b47539637b08962bb8776cc694451eb3a1c0a64133f5b2378b3a38c5977d.npz
L0,intervention,lpi_remove,720575940623047629,expand,17,0.0005198273931025235,0.00027537987007735816,0.33000000000000007,0.785824455780196,traces/ec82d21ba25413ef5d3b93c7afec97201f0209e643683af3b5d0ba75cc994398.npz
L0,intervention,lpi_remove,720575940623047629,recede,17,0.001619905449300211,0.0021164520711473957,1.415,1.1647866883607065,traces/b10602832cf481b252120907cccfc805d637455019cf485c98135f096bbd0d90.npz
L0,intervention,lpi_remove,720575940623047629,grating_0,17,0.0009546802060316494,0.0009258501595957385,1.08,1.146174012634744,traces/7bd66b7639abf3a2300f90b1f7a59fed68a42308810a3379ffc35410d7b2044f.npz
L0,intervention,output_silence,720575940623047629,expand,17,0.0,0.0,0.0,0.785824455780196,traces/93686e976cd9b016526869ca7c7c906f2ef413aa9f7eb8e8b5a55ace2a1b655e.npz
L0,intervention,output_silence,720575940623047629,recede,17,0.0,0.0,0.0,1.1647866883607065,traces/7daf4611b3e426c45494c75c9ed4d32a0812a1a8ce5d198c02c771dedcdffa96.npz
