run,target,paired,intervention,paired_depression,control_depression,selective_depression,plastic_synapse_groups_changed,restoration_exact,replay_exact,plastic_only_depression,wall_seconds,baseline_A_PN,baseline_A_KC,baseline_A_MBON_app,baseline_A_MBON_av,baseline_A_DAN_app,baseline_A_DAN_av,baseline_A_APL,baseline_B_PN,baseline_B_KC,baseline_B_MBON_app,baseline_B_MBON_av,baseline_B_DAN_app,baseline_B_DAN_av,baseline_B_APL,post_A_PN,post_A_KC,post_A_MBON_app,post_A_MBON_av,post_A_DAN_app,post_A_DAN_av,post_A_APL,post_B_PN,post_B_KC,post_B_MBON_app,post_B_MBON_av,post_B_DAN_app,post_B_DAN_av,post_B_APL
av-1701-B-silence_dan,av,B,silence_dan,0.0,0.0,0.0,0,True,,0.0,4.8768911250226665,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,0.0,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,0.0,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,0.0,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,0.0,0.1184218657502974
av-1701-A-remove_da_contacts,av,A,remove_da_contacts,0.0,0.0,0.0,0,True,,0.0,4.854983125027502,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974
av-1701-B-remove_da_contacts,av,B,remove_da_contacts,0.0,0.0,0.0,0,True,,0.0,4.8244372500048485,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974
av-1701-A-single_dan,av,A,single_dan,0.08186166346654478,0.012470810130232102,0.06939085333631267,47,True,,0.08186166346654478,4.834923292015446,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,1.2353001991096423e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,6.22555008506781e-14,0.1184218657502974,0.05155896109301567,0.07779185687536656,0.07100675578369442,0.054481331220491286,0.0046315560311498555,1.4173563842591113e-14,0.08136880558567276,0.051376078199431845,0.1310567314345101,0.11297527588296845,0.11054439595227275,0.006816663477244343,6.360948955794606e-14,0.11848094214481542
av-1701-B-single_dan,av,B,single_dan,0.09777445683876029,0.02142749860123072,0.07634695823752957,123,True,,0.09777445683876029,4.742573875002563,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,1.2353001991096423e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,6.22555008506781e-14,0.1184218657502974,0.0515622272154609,0.07781215811553442,0.07084213258410349,0.0580674288945001,0.004512448420148973,1.2759215770980133e-14,0.0812066624756905,0.05136693794454558,0.13096533677434644,0.11342120367121018,0.10099547304988857,0.007106220292710199,7.493765976168031e-14,0.11888711959142084
av-1701-A-matched_dan,av,A,matched_dan,0.16315393870853256,0.03136861117133383,0.13178532753719874,84,True,,0.16315393870853256,4.817302832991118,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004125215536314246,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.006371194122189273,1.1279932930093902e-13,0.1184218657502974,0.051554457284075365,0.07776712989057735,0.07126207758623615,0.04965753594161427,0.004399624877720937,2.924825625820957e-14,0.08159633777126438,0.05137408122254477,0.13103587227146735,0.11306581367638732,0.1084289688617679,0.00647407321992175,1.1984349458984058e-13,0.11856863533860132
av-1701-B-matched_dan,av,B,matched_dan,0.32591340092700694,0.04749269785427701,0.2784207030727299,232,True,,0.32591340092700694,4.663694416027283,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004125215536314246,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.006371194122189273,1.1279932930093902e-13,0.1184218657502974,0.05156080333391218,0.07780375762139452,0.07091779996692621,0.05652074829384579,0.004206261526587953,2.4254581468613187e-14,0.08127789283798943,0.05134317009508356,0.1307060627621978,0.11441365877324566,0.07545751222186442,0.007487676843209178,2.2281070384233262e-13,0.11991787487883813
av-1701-A-remove_pn_kc,av,A,remove_pn_kc,,,,0,True,,,4.68776970799081,0.05106190158939112,0.0,0.0,0.0,0.0,0.0,0.0033449210902177316,0.05056548270201465,0.0,0.0,0.0,0.0,0.0,0.0021732178293271324,0.05106190158939112,0.0,0.0,0.0,0.0,1e-323,0.0033449210902177316,0.05056548270201465,0.0,0.0,0.0,0.0,1e-323,0.0021732178293271324
av-1701-B-remove_pn_kc,av,B,remove_pn_kc,,,,0,True,,,4.798962917004246,0.05106190158939112,0.0,0.0,0.0,0.0,0.0,0.0033449210902177316,0.05056548270201465,0.0,0.0,0.0,0.0,0.0,0.0021732178293271324,0.05106190158939112,0.0,0.0,0.0,0.0,1e-323,0.0033449210902177316,0.05056548270201465,0.0,0.0,0.0,0.0,1e-323,0.0021732178293271324
av-1701-A-remove_kc_mbon,av,A,remove_kc_mbon,,,,84,True,,,4.706335791997844,0.051510126091827736,0.0774694190914251,0.07332380102329106,0.0,0.006563290593450884,2.771366773076516e-13,0.08378097484699167,0.051273107088126095,0.1299506084241254,0.11744916897303598,0.0,0.01062721315375508,0.0010506455944413102,0.12299291789761893,0.051510126091827736,0.0774694190914251,0.07332380102329106,0.0,0.006563290593450884,2.771366773076516e-13,0.08378097484699167,0.051273107088126095,0.1299506084241254,0.11744916897303598,0.0,0.01062721315375508,0.0010506455944413102,0.12299291789761893
